filename,leche,arroz,fruta,source
food11_training_0000001.jpg,1,0,0,food11/training/Dairy product
food11_training_0000002.jpg,1,0,0,food11/training/Dairy product
food11_training_0000003.jpg,1,0,0,food11/training/Dairy product
food11_training_0000004.jpg,1,0,0,food11/training/Dairy product
food11_training_0000005.jpg,1,0,0,food11/training/Dairy product
food11_training_0000006.jpg,1,0,0,food11/training/Dairy product
food11_training_0000007.jpg,1,0,0,food11/training/Dairy product
food11_training_0000008.jpg,1,0,0,food11/training/Dairy product
food11_training_0000009.jpg,1,0,0,food11/training/Dairy product
food11_training_0000010.jpg,1,0,0,food11/training/Dairy product
food11_training_0000011.jpg,1,0,0,food11/training/Dairy product
food11_training_0000012.jpg,1,0,0,food11/training/Dairy product
food11_training_0000013.jpg,1,0,0,food11/training/Dairy product
food11_training_0000014.jpg,1,0,0,food11/training/Dairy product
food11_training_0000015.jpg,1,0,0,food11/training/Dairy product
food11_training_0000016.jpg,1,0,0,food11/training/Dairy product
food11_training_0000017.jpg,1,0,0,food11/training/Dairy product
food11_training_0000018.jpg,1,0,0,food11/training/Dairy product
food11_training_0000019.jpg,1,0,0,food11/training/Dairy product
food11_training_0000020.jpg,1,0,0,food11/training/Dairy product
food11_training_0000021.jpg,1,0,0,food11/training/Dairy product
food11_training_0000022.jpg,1,0,0,food11/training/Dairy product
food11_training_0000023.jpg,1,0,0,food11/training/Dairy product
food11_training_0000024.jpg,1,0,0,food11/training/Dairy product
food11_training_0000025.jpg,1,0,0,food11/training/Dairy product
food11_training_0000026.jpg,1,0,0,food11/training/Dairy product
food11_training_0000027.jpg,1,0,0,food11/training/Dairy product
food11_training_0000028.jpg,1,0,0,food11/training/Dairy product
food11_training_0000029.jpg,1,0,0,food11/training/Dairy product
food11_training_0000030.jpg,1,0,0,food11/training/Dairy product
food11_training_0000031.jpg,1,0,0,food11/training/Dairy product
food11_training_0000032.jpg,1,0,0,food11/training/Dairy product
food11_training_0000033.jpg,1,0,0,food11/training/Dairy product
food11_training_0000034.jpg,1,0,0,food11/training/Dairy product
food11_training_0000035.jpg,1,0,0,food11/training/Dairy product
food11_training_0000036.jpg,1,0,0,food11/training/Dairy product
food11_training_0000037.jpg,1,0,0,food11/training/Dairy product
food11_training_0000038.jpg,1,0,0,food11/training/Dairy product
food11_training_0000039.jpg,1,0,0,food11/training/Dairy product
